"","DA Warner","KL Rahul","MS Dhoni","J Bairstow","MP Stoinis","AD Russell","CH Gayle","HH Pandya","AB de Villiers","RR Pant"
"match1",88,4,34,42,31,50,91,0,9,80
"match2",71,1,79,49,28,49,21,34,73,28
"match3",101,72,14,115,15,72,41,33,1,18
"match4",14,15,39,53,28,52,6,26,13,43
"match5",17,55,60,16,0,52,16,14,65,5
"match6",74,71,16,5,19,46,65,25,18,18
"match7",51,104,89,43,14,10,105,30,59,48
"match8",51,18,45,63,48,70,34,40,76,24
"match9",70,53,10,82,33,16,69,32,26,7
"match10",59,12,38,0,0,14,24,25,86,7
