"","Player","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","X4","X5","WKTS/MAT","rank_score2"
"1","Imran Tahir",17,17,64.2,1,431,26,"4/12",16.57,6.69,14.8,2,0,1.52941176470588,92.8870588235294
"2","K Rabada",12,12,47,0,368,25,"4/21",14.72,7.82,11.2,2,0,2.08333333333333,87.1366666666667
"23","JC Archer",11,11,43,2,291,11,"3/15",26.45,6.76,23.4,0,0,1,85.96
"3","DL Chahar",17,17,64.3,2,482,22,"3/20",21.9,7.47,17.5,0,0,1.29411764705882,84.5905882352941
"9","Rashid Khan",15,15,60,1,377,17,"3/21",22.17,6.28,21.1,0,0,1.13333333333333,84.5466666666667
"6","JJ Bumrah",16,16,61.4,1,409,19,"3/20",21.52,6.63,19.4,0,0,1.1875,83.4175
"12","RA Jadeja",16,16,54,1,343,15,"3/9",22.86,6.35,21.6,0,0,0.9375,83.2875
"8","YS Chahal",14,14,49.2,1,386,18,"4/38",21.44,7.82,16.4,1,0,1.28571428571429,83.1485714285714
"10","Harbhajan Singh",11,11,44,1,312,16,"3/20",19.5,7.09,16.5,0,0,1.45454545454545,82.9127272727273
"32","Mohammad Nabi",8,8,29.1,0,194,8,"4/11",24.25,6.65,21.8,1,0,1,82.4
